name,category,description,fit_type,stretch,fit_advice,image_url
Align High-Rise Pant 28",Leggings,Buttery soft Nulu fabric feels weightless. Designed for Yoga. 81% Nylon 19% Lycra Elastane.,Tight,High Stretch,These run true to size but the Nulu fabric is extremely stretchy and naked-feel. If you prefer a compressive held-in sensation you should SIZE UP. If you have sensitive skin this fabric is ideal.,https://images.lululemon.com/is/image/lululemon/LW5CT3S_0001_1
Wunder Train High-Rise Tight,Leggings,Powered by Everlux fabric which is highly breathable and handles sweat. More compressive than the Align.,Tight,Medium Stretch,These offer a tighter waistband and higher compression. They run true to size but if you have wider hips or thick thighs the waistband may feel restrictive in your usual size.,https://images.lululemon.com/is/image/lululemon/LW5CQDS_0001_1
Swiftly Tech Long Sleeve Shirt 2.0,Tops,Seamless construction reduces chafing. Slim fit race length. Silverescent technology.,Slim,Medium Stretch,This is a Race Length (shorter) item with a very Slim fit. If you have a Long Torso this will feel cropped on you. If you have Broad Shoulders the sleeves will feel tight consider sizing up.,https://images.lululemon.com/is/image/lululemon/LW3DFKS_0001_1
Scuba Oversized Half-Zip Hoodie,Hoodies,Naturally breathable cotton-blend fleece. Oversized fit waist length.,Oversized,Low Stretch,This hoodie is designed to be very loose and boxy but SHORT in the body. If you have a Long Torso it will sit very high on your waist. Do not size up for length it just gets wider.,https://images.lululemon.com/is/image/lululemon/LW3DM4S_032489_1
Define Jacket Luon,Jackets,Cottony-soft Luon fabric. Slim fit hip length. Designed for On the Move.,Tight,Medium Stretch,This jacket is famous for its extreme contouring fit. It fits very tight across the chest. If you have a Large Bust or Broad Shoulders you MUST size up otherwise the zipper will pull and gape.,https://images.lululemon.com/is/image/lululemon/LW4AWLS_0001_1
Hotty Hot Low-Rise Lined Short 2.5",Shorts,Lightweight Swift fabric. Low rise 2.5 inch inseam. Max airflow.,Standard,Non-Stretch,These are low-rise and made of non-stretch fabric. If you have Wide Hips or a larger bum the low rise will cut in and feel uncomfortable. Size up for more room in the glutes.,https://images.lululemon.com/is/image/lululemon/LW7AYXT_0001_1
Metal Vent Tech Short Sleeve Shirt,Tops,Seamless ventilation. Slim fit. Designed for Running and Training.,Slim,High Stretch,Designed for a close-to-body fit. If you prefer a classic relaxed tee fit you should size up. The seamless mesh texture can sometimes irritate sensitive skin.,https://images.lululemon.com/is/image/lululemon/LM3D38S_0001_1
ABC Classic-Fit Pant 32",Pants,Warpstreme fabric is wrinkle-resistant and quick-drying. Classic fit that gives glutes and thighs breathing room.,Standard,Medium Stretch,These are the Classic fit which allows room for athletic thighs. If you have Narrow Hips or thin legs these might look baggy try the Slim version instead.,https://images.lululemon.com/is/image/lululemon/LM5954S_032476_1
Energy Bra High Support,Sports Bras,High support for running. Luxtreme fabric is sweat-wicking and cool to the touch.,Tight,Medium Stretch,This bra has a very firm band for high support. If you have a Broad Ribcage or Wide Back the band will feel suffocating in your usual size. Size up in the band.,https://images.lululemon.com/is/image/lululemon/LW2CT0S_0001_1
Softstreme Perfectly Oversized Cropped Crew,Sweatshirts,Peach-fuzz soft texture. Relaxed fit cropped length.,Loose,Medium Stretch,The fabric is incredibly soft but water-sensitive. The fit is boxy and cropped. Ideal for Short Torsos. If you have a Long Torso this will show your midriff when you raise your arms.,https://images.lululemon.com/is/image/lululemon/LW3F5DS_0001_1
Commission Slim-Fit Pant 34",Pants,Inspired by chinos. Slim fit limits room in the seat and thigh.,Slim,Low Stretch,This is the Slim Fit version. If you have Thick Thighs or large calves the legs will cling and bunch up. Stick to the Classic fit if you do heavy squats.,https://images.lululemon.com/is/image/lululemon/LM5455S_0001_1
Dance Studio Mid-Rise Jogger,Pants,Lightweight two-way stretch Swift fabric. Lined for coverage.,Standard,Low Stretch,The waistband is non-stretch and runs slightly small. If you carry weight in your midsection size up. The fabric is thin and swishy.,https://images.lululemon.com/is/image/lululemon/LW5CVAS_0001_1